Title	Genres	Year	Directors	IMDb Rating	Runtime (mins)	URL
Robin Hood	action, adventure, drama	2010	Ridley Scott	6.7	140	http://www.imdb.com/title/tt0955308/
The Town	crime, drama, thriller	2010	Ben Affleck	7.6	125	http://www.imdb.com/title/tt0840361/
I Am Number Four	drama, romance, sci_fi, thriller	2011	D.J. Caruso	6.1	109	http://www.imdb.com/title/tt1464540/
Rise of the Planet of the Apes	action, drama, sci_fi, thriller	2011	Rupert Wyatt	7.6	105	http://www.imdb.com/title/tt1318514/
50/50	comedy, drama	2011	Jonathan Levine	7.8	100	http://www.imdb.com/title/tt1306980/
Contagion	drama, sci_fi, thriller	2011	Steven Soderbergh	6.7	106	http://www.imdb.com/title/tt1598778/
The Descendants	comedy, drama	2011	Alexander Payne	7.4	115	http://www.imdb.com/title/tt1033575/
Hugo	adventure, drama, family, mystery	2011	Martin Scorsese	7.6	126	http://www.imdb.com/title/tt0970179/
The Ides of March	drama	2011	George Clooney	7.2	101	http://www.imdb.com/title/tt1124035/
Immortals	action, drama, fantasy	2011	Tarsem Singh Dhandwar	6	110	http://www.imdb.com/title/tt1253864/
Moneyball	biography, drama, sport	2011	Bennett Miller	7.6	133	http://www.imdb.com/title/tt1210166/
My Week with Marilyn	biography, drama	2011	Simon Curtis	7	99	http://www.imdb.com/title/tt1655420/
Real Steel	action, drama, sci_fi, sport	2011	Shawn Levy	7.1	127	http://www.imdb.com/title/tt0433035/
Tinker Tailor Soldier Spy	drama, mystery, thriller	2011	Tomas Alfredson	7.1	127	http://www.imdb.com/title/tt1340800/
We Bought a Zoo	drama, family	2011	Cameron Crowe	7.1	124	http://www.imdb.com/title/tt1389137/
Chasing Mavericks	drama, sport	2012	Michael Apted, Curtis Hanson	6.8	116	http://www.imdb.com/title/tt1629757/
Chronicle	drama, sci_fi, thriller	2012	Josh Trank	7	84	http://www.imdb.com/title/tt1706593/
Contraband	action, crime, drama, thriller	2012	Baltasar Kormákur	6.4	109	http://www.imdb.com/title/tt1524137/
The Grey	action, adventure, drama, thriller	2011	Joe Carnahan	6.8	117	http://www.imdb.com/title/tt1601913/
The Odd Life of Timothy Green	comedy, drama, fantasy	2012	Peter Hedges	6.4	105	http://www.imdb.com/title/tt1462769/
Snowpiercer	action, drama, sci_fi	2013	Joon-ho Bong			http://www.imdb.com/title/tt1706620/
Stoker	drama, mystery, thriller	2013	Chan-wook Park	7.2	99	http://www.imdb.com/title/tt1682180/
Carrie	drama, horror	2013	Kimberly Peirce			http://www.imdb.com/title/tt1939659/
White House Down	action, drama, thriller	2013	Roland Emmerich		137	http://www.imdb.com/title/tt2334879/
Oldboy	action, drama, mystery, thriller	2013	Spike Lee			http://www.imdb.com/title/tt1321511/
The Story of Luke	comedy, drama	2012	Alonso Mayo	7.1		http://www.imdb.com/title/tt1038693/
Stolen	action, crime, drama, thriller	2012	Simon West	5.3	96	http://www.imdb.com/title/tt1656186/
