Title	Genres	Year	Directors	IMDb Rating	Runtime (mins)	URL
Unraveled	documentary	2011	Marc H. Simon	4.9	84	http://www.imdb.com/title/tt1595061/
The City Dark	documentary, news	2011	Ian Cheney	6.8	83	http://www.imdb.com/title/tt1863406/
$ellebrity	documentary	2012	Kevin Mazur	4.2	89	http://www.imdb.com/title/tt2258233/
Teenage Paparazzo	documentary	2010	Adrian Grenier	7.3	94	http://www.imdb.com/title/tt1232206/
Into the Universe with Stephen Hawking	documentary	2010		7.9		http://www.imdb.com/title/tt1655078/
Walking with Dinosaurs	documentary, animation, history	1999		8.2	180	http://www.imdb.com/title/tt0214382/
Jesus of Nazareth	biography, drama, history	1977		8.5	382	http://www.imdb.com/title/tt0075520/
Africa	documentary	2013		9.4		http://www.imdb.com/title/tt2571774/
Chasing Ice	documentary, biography	2012	Jeff Orlowski	7.4	75	http://www.imdb.com/title/tt1579361/
TimeScapes	documentary	2012	Tom Lowe	7.4	52	http://www.imdb.com/title/tt2297031/
How the Universe Works	documentary	2010		9	60	http://www.imdb.com/title/tt1832668/
Happy People: A Year in the Taiga	documentary	2010	Dmitry Vasyukov, Werner Herzog	7.6	90	http://www.imdb.com/title/tt1683876/
Vanishing of the Bees	documentary, history	2009	George Langworthy, Maryam Henein	6.9		http://www.imdb.com/title/tt1521877/
Charles Darwin and the Tree of Life	documentary	2009		7.6		http://www.imdb.com/title/tt1371711/
River Monsters	documentary	2009		7.8		http://www.imdb.com/title/tt1476750/
Big River Man	documentary	2009	John Maringouin	7.3	100	http://www.imdb.com/title/tt0956101/
The National Parks: America's Best Idea	documentary, history	2009		7.4	120	http://www.imdb.com/title/tt1464482/
Up the Yangtze	documentary	2007	Yung Chang	7.4	93	http://www.imdb.com/title/tt1114277/
Blindsight	documentary, adventure	2006	Lucy Walker	7	104	http://www.imdb.com/title/tt0841084/
Everest: Beyond the Limit	documentary, adventure	2006	Barny Revill, Ed Wardle	7		http://www.imdb.com/title/tt0883680/
Planet Earth	documentary	2006		9.5	44	http://www.imdb.com/title/tt0795176/
Life in the Undergrowth	documentary	2005		9.2	50	http://www.imdb.com/title/tt0760222/
One Life	documentary	2011	Michael Gunton, Martha Holmes	7.6	85	http://www.imdb.com/title/tt1762300/
MonsterQuest	documentary, history, mystery	2007		7.4	45	http://www.imdb.com/title/tt1170243/
I Shouldn't Be Alive	documentary, biography, drama, history	2005		7.7	60	http://www.imdb.com/title/tt0492429/
Space Odyssey: Voyage to the Planets	documentary, drama, sci_fi	2004	Joe Ahearne	7.7	100	http://www.imdb.com/title/tt0395417/
Deep Blue	documentary	2003	Andy Byatt, Alastair Fothergill	7.4	83	http://www.imdb.com/title/tt0365109/
Alone in the Wilderness	documentary	2004		9	57	http://www.imdb.com/title/tt0437806/
Mankind the Story of All of Us	documentary, history	2012		6.9	720	http://www.imdb.com/title/tt2431022/
Discovery Atlas	documentary	2006		7.6		http://www.imdb.com/title/tt0958523/
Megacities	documentary	1998	Michael Glawogger	7.3	90	http://www.imdb.com/title/tt0169024/
Alien Planet	documentary, animation, sci_fi	2005	Pierre de Lespinois	7.2	94	http://www.imdb.com/title/tt0453446/
Expedition: Bismarck	documentary	2002	James Cameron, Gary Johnstone	7.1	92	http://www.imdb.com/title/tt0330267/
Shackleton's Antarctic Adventure	documentary	2001	George Butler	7.5	40	http://www.imdb.com/title/tt0280105/
The Dream Is Alive	documentary	1985	Graeme Ferguson	7.5	37	http://www.imdb.com/title/tt0089050/
Last Stand of the 300	documentary	2007	David Padrusch	7.4	91	http://www.imdb.com/title/tt0892737/
The Story of Science	documentary	2010		7.6		http://www.imdb.com/title/tt1647292/
The Mars Underground	documentary	2007	Scott J. Gill	7.3	84	http://www.imdb.com/title/tt0437325/
Into the Arms of Strangers: Stories of the Kindertransport	documentary, history, war	2000	Mark Jonathan Harris	7.7	122	http://www.imdb.com/title/tt0248912/
The Last Days	documentary, war	1998	James Moll	7.6	87	http://www.imdb.com/title/tt0174852/
The Long Way Home	documentary, history, war	1997	Mark Jonathan Harris	7.4	120	http://www.imdb.com/title/tt0119561/
Maya Lin: A Strong Clear Vision	documentary, biography	1994	Freida Lee Mock	7.1	105	http://www.imdb.com/title/tt0110480/
I Am a Promise: The Children of Stanton Elementary School	documentary	1993	Susan Raymond	7.2		http://www.imdb.com/title/tt0107177/
In the Shadow of the Stars	documentary	1991	Allie Light, Irving Saraf	6.5	93	http://www.imdb.com/title/tt0102114/
American Dream	documentary	1990	Barbara Kopple, Cathy Caplan	7.7	98	http://www.imdb.com/title/tt0099028/
Hôtel Terminus	documentary, biography	1988	Marcel Ophüls	7.7	267	http://www.imdb.com/title/tt0095341/
American Masters: The Ten-Year Lunch: The Wit and Legend of the Algonquin Round Table	documentary, biography, history, music, romance	1985	Aviva Slesin	7.9	56	http://www.imdb.com/title/tt0094119/
Artie Shaw: Time Is All You've Got	documentary, biography, music	1985	Brigitte Berman	6.5	114	http://www.imdb.com/title/tt0088740/
He Makes Me Feel Like Dancin'	documentary, family	1983	Emile Ardolino	6.8	51	http://www.imdb.com/title/tt0085655/
The Fifth Estate	documentary, news	1975	Marie Caloz	7.5	60	http://www.imdb.com/title/tt0169446/
Genocide	documentary, history, war	1982	Arnold Schwartzman	6.7	90	http://www.imdb.com/title/tt0082443/
From Mao to Mozart: Isaac Stern in China	documentary, music	1981	Murray Lerner	7.5	84	http://www.imdb.com/title/tt0080762/
Who Are the DeBolts? [And Where Did They Get 19 Kids?]	documentary, biography	1977	John Korty	7	72	http://www.imdb.com/title/tt0076918/
The Man Who Skied Down Everest	documentary	1975	Bruce Nyznik, Lawrence Schiller	6.9	86	http://www.imdb.com/title/tt0073340/
The Great American Cowboy	documentary, sport	1973	Kieth Merrill	7.1	89	http://www.imdb.com/title/tt0070135/
Marjoe	documentary, biography	1972	Sarah Kernochan, Howard Smith	7.4	88	http://www.imdb.com/title/tt0068924/
The Hellstrom Chronicle	documentary, drama	1971	Walon Green, Ed Spiegel	7.3	90	http://www.imdb.com/title/tt0067197/
Journey Into Self	documentary	1969	Bill McGaw	6	47	http://www.imdb.com/title/tt0063160/
The Anderson Platoon	documentary, war	1967	Pierre Schoendoerffer	6.9	65	http://www.imdb.com/title/tt0062244/
The Eleanor Roosevelt Story	documentary, biography	1965	Richard Kaplan	6.5	90	http://www.imdb.com/title/tt0059145/
World Without Sun	documentary	1964	Jacques-Yves Cousteau	7.3	93	http://www.imdb.com/title/tt0058364/
Robert Frost: A Lover's Quarrel with the World	documentary, biography	1963	Shirley Clarke	5.3		http://www.imdb.com/title/tt0057459/
Black Fox: The True Story of Adolf Hitler	documentary, biography, war	1962	Louis Clyde Stoumen	6.6	89	http://www.imdb.com/title/tt0055801/
The Horse with the Flying Tail	family, documentary	1960	Larry Lansburgh	6.7	48	http://www.imdb.com/title/tt0054993/
Icons of Power: Napoleon's Final Battle	documentary	2006	Doug Shultz	6.8	10	http://www.imdb.com/title/tt0841030/
The Campaigns of Napoleon: 1812 - Napoleon's Road to Moscow	documentary	2003	Chris Gormlie		55	http://www.imdb.com/title/tt1163204/
Medal of Honor	documentary, history, war	2008	Roger Sherman	6.8	86	http://www.imdb.com/title/tt1325593/
Inside the Saudi Kingdom	documentary	2008	Lionel Mill	6.6	59	http://www.imdb.com/title/tt2639782/
Crusade in the Pacific	documentary, history, war	1951		7.5	30	http://www.imdb.com/title/tt0165007/
The Century: America's Time	documentary	1999		6.4	750	http://www.imdb.com/title/tt0391588/
The Battle of the Alamo	documentary, history, war	1996	Nina Gilden Seavey, Paul Wagner	6.2	47	http://www.imdb.com/title/tt0115635/
War in the Falklands	documentary, history, war	2002	Mike Beckham	6.5		http://www.imdb.com/title/tt0326387/
Wikileaks: The Secret Life of a Superpower	documentary	2012		6		http://www.imdb.com/title/tt2330649/
Lee & Grant	documentary	2011	John Ealer	6.8	88	http://www.imdb.com/title/tt1852826/
Red White Black & Blue	documentary	2006	Tom Putnam	6.7		http://www.imdb.com/title/tt0469169/
