Title	Genres	Year	Directors	IMDb Rating	Runtime (mins)	URL
Battle of Britain	action, drama, history, war	1969	Guy Hamilton	6.8	132	http://www.imdb.com/title/tt0064072/
Battle of the Bulge	war, action, drama	1965	Ken Annakin	6.8	167	http://www.imdb.com/title/tt0058947/
MASH	comedy, war, drama	1970	Robert Altman	7.7	116	http://www.imdb.com/title/tt0066026/
Platoon	action, drama, war	1986	Oliver Stone	8.2	120	http://www.imdb.com/title/tt0091763/
Full Metal Jacket	drama, war	1987	Stanley Kubrick	8.4	116	http://www.imdb.com/title/tt0093058/
Tour of Duty	action, drama, war	1987		7.9	45	http://www.imdb.com/title/tt0092468/
China Beach	drama, war	1988		7.7	120	http://www.imdb.com/title/tt0094433/
Born on the Fourth of July	biography, drama, war	1989	Oliver Stone	7.1	145	http://www.imdb.com/title/tt0096969/
Casualties of War	drama, history, war	1989	Brian DePalma	7	113	http://www.imdb.com/title/tt0097027/
Dead Presidents	crime, drama, thriller, war	1995	The Hughes Brothers, The Hughes Brothers	6.7	119	http://www.imdb.com/title/tt0112819/
Apocalypse Now	drama, war	1979	Francis Coppola	8.6	153	http://www.imdb.com/title/tt0078788/
Coming Home	drama, romance, war	1978	Hal Ashby	7.3	127	http://www.imdb.com/title/tt0077362/
The Deer Hunter	drama, war	1978	Michael Cimino	8.2	182	http://www.imdb.com/title/tt0077416/
The Green Berets	drama, war	1968	Ray Kellogg, John Wayne	5.3	142	http://www.imdb.com/title/tt0063035/
The Killing Fields	drama, history, war	1984	Roland Joffé	7.9	141	http://www.imdb.com/title/tt0087553/
Threads	drama, sci_fi, war	1984	Mick Jackson	7.9	110	http://www.imdb.com/title/tt0090163/
Rambo: First Blood Part II	action, adventure, thriller, war	1985	George P. Cosmatos	6.2	96	http://www.imdb.com/title/tt0089880/
Gettysburg	drama, history, war	1993	Ronald F. Maxwell	7.5	271	http://www.imdb.com/title/tt0107007/
North and South	drama, history, romance, war	1985		7.9	561	http://www.imdb.com/title/tt0088583/
The Big Red One	action, drama, war	1980	Samuel Fuller	7.3	113	http://www.imdb.com/title/tt0080437/
Das Boot	action, adventure, drama, history, war	1981	Wolfgang Petersen	8.4	149	http://www.imdb.com/title/tt0082096/
Victory	action, drama, sport, war	1981	John Huston	6.4	116	http://www.imdb.com/title/tt0083284/
Come and See	drama, history, war	1985	E. Klimov	8.1	136	http://www.imdb.com/title/tt0091251/
Au Revoir Les Enfants	biography, drama, war	1987	Louis Malle	8	104	http://www.imdb.com/title/tt0092593/
Henry V	action, biography, drama, history, romance, war	1989	Kenneth Branagh	7.7	137	http://www.imdb.com/title/tt0097499/
Patton	biography, drama, history, war	1970	Franklin J. Schaffner	8	172	http://www.imdb.com/title/tt0066206/
The Eagle Has Landed	adventure, drama, thriller, war	1976	John Sturges	6.9	135	http://www.imdb.com/title/tt0074452/
Cross of Iron	action, drama, war	1977	Sam Peckinpah	7.5	132	http://www.imdb.com/title/tt0074695/
Force 10 from Navarone	action, drama, war	1978	Guy Hamilton	6.2	118	http://www.imdb.com/title/tt0077572/
Schindler's List	biography, drama, history, war	1993	Steven Spielberg	8.9	195	http://www.imdb.com/title/tt0108052/
Stalingrad	drama, war	1993	Joseph Vilsmaier	7.4	134	http://www.imdb.com/title/tt0108211/
Gallipoli	adventure, drama, history, war	1981	Peter Weir	7.5	110	http://www.imdb.com/title/tt0082432/
Johnny Got His Gun	drama, war	1971	Dalton Trumbo	7.7	111	http://www.imdb.com/title/tt0067277/
Legends of the Fall	drama, romance, war, western	1994	Edward Zwick	7.3	133	http://www.imdb.com/title/tt0110322/
Stripes	comedy, war	1981	Ivan Reitman	6.8	106	http://www.imdb.com/title/tt0083131/
The Year of Living Dangerously	drama, romance, war	1982	Peter Weir	7	115	http://www.imdb.com/title/tt0086617/
The Delta Force	action, adventure, drama, thriller, war	1986	Menahem Golan	5.3	125	http://www.imdb.com/title/tt0090927/
Heartbreak Ridge	action, comedy, drama, war	1986	Clint Eastwood	6.6	130	http://www.imdb.com/title/tt0091187/
Iron Eagle	action, thriller, war	1986	Sidney J. Furie	5	117	http://www.imdb.com/title/tt0091278/
Empire of the Sun	drama, history, war	1987	Steven Spielberg	7.7	152	http://www.imdb.com/title/tt0092965/
Good Morning, Vietnam	comedy, drama, war	1987	Barry Levinson	7.2	121	http://www.imdb.com/title/tt0093105/
Hamburger Hill	drama, war, action	1987	John Irvin	6.6	110	http://www.imdb.com/title/tt0093137/
Glory	drama, history, war	1989	Edward Zwick	7.9	122	http://www.imdb.com/title/tt0097441/
Memphis Belle	action, drama, war	1990	Michael Caton-Jones	6.8	107	http://www.imdb.com/title/tt0100133/
Hot Shots!	action, comedy, war	1991	Jim Abrahams	6.6	84	http://www.imdb.com/title/tt0102059/
Hellraiser III: Hell on Earth	action, comedy, drama, horror, war	1992	Anthony Hickox	5.2	93	http://www.imdb.com/title/tt0104409/
The Last of the Mohicans	action, adventure, romance, war	1992	Michael Mann	7.7	112	http://www.imdb.com/title/tt0104691/
Shining Through	drama, romance, thriller, war	1992	David Seltzer	6	132	http://www.imdb.com/title/tt0105391/
Hot Shots! Part Deux	action, comedy, war	1993	Jim Abrahams	6.4	86	http://www.imdb.com/title/tt0107144/
Braveheart	action, biography, drama, history, war	1995	Mel Gibson	8.4	177	http://www.imdb.com/title/tt0112573/
Barry Lyndon	adventure, drama, romance, war	1975	Stanley Kubrick	8.1	184	http://www.imdb.com/title/tt0072684/
Midway	action, drama, history, war	1976	Jack Smight	6.6	132	http://www.imdb.com/title/tt0074899/
A Bridge Too Far	drama, history, war	1977	Richard Attenborough	7.3	175	http://www.imdb.com/title/tt0075784/
The Tin Drum	drama, war	1979	Volker Schlöndorff	7.6	142	http://www.imdb.com/title/tt0078875/
1941	action, comedy, drama, romance, war	1979	Steven Spielberg	5.7	118	http://www.imdb.com/title/tt0078723/
Slaughterhouse-Five	comedy, drama, fantasy, sci_fi, war	1972	George Roy Hill	7	104	http://www.imdb.com/title/tt0069280/
Catch-22	comedy, war	1970	Mike Nichols	7.1	122	http://www.imdb.com/title/tt0065528/
Kelly's Heroes	action, adventure, comedy, war	1970	Brian G. Hutton	7.5	144	http://www.imdb.com/title/tt0065938/
Tora! Tora! Tora!	action, adventure, drama, history, war	1970	Richard Fleischer, Kinji Fukasaku	7.4	144	http://www.imdb.com/title/tt0066473/
Little Big Man	history, western	1970	Arthur Penn	7.6	139	http://www.imdb.com/title/tt0065988/
