Title	Year	Directors	IMDb Rating	Runtime (mins)	URL
The Boxer	1997	Jim Sheridan	7	113	http://www.imdb.com/title/tt0118760/
Rollerball	1975	Norman Jewison	6.5	125	http://www.imdb.com/title/tt0073631/
Little Big League	1994	Andrew Scheinman	5.8	119	http://www.imdb.com/title/tt0110363/
Hard Ball	2001	Brian Robbins	6.1	106	http://www.imdb.com/title/tt0180734/
Racing Stripes	2005	Frederik Du Chau	5.1	102	http://www.imdb.com/title/tt0376105/
Mr. Woodcock	2007	Craig Gillespie	5.1	87	http://www.imdb.com/title/tt0419984/
All the Right Moves	1983	Michael Chapman	5.7	91	http://www.imdb.com/title/tt0085154/
Mystery, Alaska	1999	Jay Roach	6.5	119	http://www.imdb.com/title/tt0134618/
Summer Catch	2001	Mike Tollin	4.7	108	http://www.imdb.com/title/tt0234829/
Supercross	2005	Steve Boyum	3.3	80	http://www.imdb.com/title/tt0403016/
Everyone's Hero	2006	Colin Brady, Christopher Reeve	5.7	88	http://www.imdb.com/title/tt0430779/
Resurrecting the Champ	2007	Rod Lurie	6.7	112	http://www.imdb.com/title/tt0416185/
Love Ranch	2010	Taylor Hackford	5.4	117	http://www.imdb.com/title/tt1125929/
Kickboxer 2: The Road Back	1991	Albert Pyun	3.7	89	http://www.imdb.com/title/tt0102202/
Hands of Stone	2014	Jonathan Jakubowicz			http://www.imdb.com/title/tt1781827/
Pumping Iron	1977	George Butler, Robert Fiore	7.3	85	http://www.imdb.com/title/tt0076578/
Youngblood	1986	Peter Markle	5.7	110	http://www.imdb.com/title/tt0092272/
Airborne	1993	Rob Bowman	5.6	91	http://www.imdb.com/title/tt0106233/
The Program	1993	David S. Ward	6.2	112	http://www.imdb.com/title/tt0107889/
Play It to the Bone	1999	Ron Shelton	5.2	124	http://www.imdb.com/title/tt0196857/
My Dog Skip	2000	Jay Russell	6.8	95	http://www.imdb.com/title/tt0156812/
Rebound	2005	Steve Carr	4.8	103	http://www.imdb.com/title/tt0376108/
Legendary	2010	Mel Damski	5.8	107	http://www.imdb.com/title/tt1563704/
The Perfect Game	2009	William Dear	6.6	118	http://www.imdb.com/title/tt0473102/
Beer League	2006	Frank Sebastiano	5.8	86	http://www.imdb.com/title/tt0453453/
Fab Five: The Texas Cheerleader Scandal	2008	Tom McLoughlin	5.9	88	http://www.imdb.com/title/tt1191113/
Air Bud	1997	Charles Martin Smith	4.7	98	http://www.imdb.com/title/tt0118570/
Snow Dogs	2002	Brian Levant	4.9	99	http://www.imdb.com/title/tt0281373/
Dreamer: Inspired by a True Story	2005	John Gatins	6.7	106	http://www.imdb.com/title/tt0418647/
Who's Your Caddy?	2007	Don Michael Paul	1.9	93	http://www.imdb.com/title/tt0785077/
Hole in One	2010	Drew Ann Rosenberg	2.7	100	http://www.imdb.com/title/tt1263800/
61*	2001	Billy Crystal	7.7	129	http://www.imdb.com/title/tt0250934/
Across the Tracks	1990	Sandy Tung	5.5	100	http://www.imdb.com/title/tt0101268/
Eight Men Out	1988	John Sayles	7.2	119	http://www.imdb.com/title/tt0095082/
Victory	1981	John Huston	6.4	116	http://www.imdb.com/title/tt0083284/
Heaven Can Wait	1978	Warren Beatty, Buck Henry	6.8	101	http://www.imdb.com/title/tt0077663/
The Champ	1979	Franco Zeffirelli	6.3	121	http://www.imdb.com/title/tt0078950/
The Black Stallion	1979	Carroll Ballard	7.1	118	http://www.imdb.com/title/tt0078872/
Best of the Best	1989	Bob Radler	6	97	http://www.imdb.com/title/tt0096913/
Major League: Back to the Minors	1998	John Warren	4.2	100	http://www.imdb.com/title/tt0120742/
Ready to Rumble	2000	Brian Robbins	5	107	http://www.imdb.com/title/tt0217756/
Against the Ropes	2004	Charles S. Dutton	5.1	111	http://www.imdb.com/title/tt0312329/
Mr 3000	2004	Charles Stone III	5.5	104	http://www.imdb.com/title/tt0339412/
The Longshots	2008	Fred Durst	4.4	94	http://www.imdb.com/title/tt1091751/
Brink!	1998	Greg Beeman	6.9	99	http://www.imdb.com/title/tt0162212/
Kickboxer 3: The Art of War	1992	Rick King	3.1	92	http://www.imdb.com/title/tt0104609/
American Ninja	1985	Sam Firstenberg	4.9	95	http://www.imdb.com/title/tt0088708/
Gladiator	1992	Rowdy Herrington	6.1	101	http://www.imdb.com/title/tt0104346/
Blue Chips	1994	William Friedkin	5.8	108	http://www.imdb.com/title/tt0109305/
The Luck of the Irish	2001	Paul Hoen	5.8	86	http://www.imdb.com/title/tt0274636/
Le Mans	1971	Lee H. Katzin	6.5	106	http://www.imdb.com/title/tt0067334/
Johnny Be Good	1988	Bud Smith	4.2	91	http://www.imdb.com/title/tt0095409/
Mr. Baseball	1992	Fred Schepisi	5.6	108	http://www.imdb.com/title/tt0104926/
8 Seconds	1994	John G. Avildsen	6.1	105	http://www.imdb.com/title/tt0109021/
The Big Green	1995	Holly Goldberg Sloan	5.1	100	http://www.imdb.com/title/tt0112499/
The Sixth Man	1997	Randall Miller	5.1	107	http://www.imdb.com/title/tt0120142/
Go Figure	2005	Francine McDougall	5.6	88	http://www.imdb.com/title/tt0447987/
The Slaughter Rule	2002	Alex Smith, Andrew J. Smith	5.9	112	http://www.imdb.com/title/tt0266971/
Girlfight	2000	Karyn Kusama	6.7	110	http://www.imdb.com/title/tt0210075/
Brian's Song	1971	Buzz Kulik	7.6	73	http://www.imdb.com/title/tt0068315/
Oxford Blues	1984	Robert Boris	5	97	http://www.imdb.com/title/tt0087866/
Wildcats	1986	Michael Ritchie	5.7	106	http://www.imdb.com/title/tt0092214/
Caddyshack II	1988	Allan Arkush	3.5	98	http://www.imdb.com/title/tt0094824/
The Babe	1992	Arthur Hiller	5.7	115	http://www.imdb.com/title/tt0103747/
