Title	Year	Directors	IMDb Rating	Runtime (mins)	URL
The Greatest Game Ever Played	2008	Marc Kinderman	6.9	120	http://www.imdb.com/title/tt1405378/
30 Days	2006	Jamal Joseph	3.6	93	http://www.imdb.com/title/tt0321858/
More Than Just a Game	2007	Junaid Ahmed	5.1	89	http://www.imdb.com/title/tt1144914/
On Thin Ice: The Tai Babilonia Story	1990	Zale Dalen	5.3	95	http://www.imdb.com/title/tt0100292/
Just a Walk in the Park	2002	Steven Schachter	5.4	87	http://www.imdb.com/title/tt0330504/
Broad Street Bullies	2010	George Roy	6.6		http://www.imdb.com/title/tt1922562/
Final Shot: The Hank Gathers Story	1992	Charles Braverman	6.4	92	http://www.imdb.com/title/tt0104270/
Gross Misconduct: The Life of Brian Spencer	1993	Atom Egoyan	5.5	120	http://www.imdb.com/title/tt0107047/
The Jersey Devil	2011	John Casala	3.4	103	http://www.imdb.com/title/tt1320098/
Derek Jeter 3K	2011	David Check, David Gavant	6.3		http://www.imdb.com/title/tt2007405/
The Circuit	2002	Jalal Merhi	3.3	91	http://www.imdb.com/title/tt0309452/
Fist Fighter	1989	Frank Zuniga	4.3	97	http://www.imdb.com/title/tt0094599/
Rowing Through	1996	Masato Harada	6	116	http://www.imdb.com/title/tt0117518/
The Ultimate Game	2001	Jack Kaprielian	4	92	http://www.imdb.com/title/tt0364722/
Reversal	2001	Alan Vint	6.3		http://www.imdb.com/title/tt0226379/
Grand Slam	1978	John Hefin	7.1	62	http://www.imdb.com/title/tt0363653/
Here Come the Tigers	1978	Sean S. Cunningham	2.7	87	http://www.imdb.com/title/tt0077668/
Rocksteady	2010	Mustapha Khan	5.5	90	http://www.imdb.com/title/tt1530996/
Bleacher Bums	2001	Saul Rubinek	6.2	115	http://www.imdb.com/title/tt0289092/
Please Don't Hit Me, Mom	1981	Gwen Arner	6.3	60	http://www.imdb.com/title/tt0082918/
A Saintly Switch	1999	Peter Bogdanovich	5.5	88	http://www.imdb.com/title/tt0164683/
A Winner Never Quits	1986	Mel Damski	6.8	105	http://www.imdb.com/title/tt0092221/
Delivery Boys	1985	Ken Handler	3.4	91	http://www.imdb.com/title/tt0087134/
Finding Buck McHenry	2000	Charles Burnett	5.9	94	http://www.imdb.com/title/tt0244512/
The Kid	1997	John Hamilton	5.6	90	http://www.imdb.com/title/tt0159507/
The Jesse Owens Story	1984	Richard Irving	6.7	174	http://www.imdb.com/title/tt0087501/
Never Give Up: The Jimmy V Story	1996	Marcus Cole	6.1	90	http://www.imdb.com/title/tt0117166/
Second Serve	1986	Anthony Page	7.1	120	http://www.imdb.com/title/tt0091913/
Grambling's White Tiger	1981	Georg Stanford Brown	5.7	92	http://www.imdb.com/title/tt0082468/
Race Across the Sky: The Leadville Trail 100	2009	Frank Matson	6.3	73	http://www.imdb.com/title/tt1667897/
The Catcher	1998	Guy Crawford, Yvette Hoffman	3.1	77	http://www.imdb.com/title/tt0191869/
Turkey Bowl	2011	Kyle Smith	6.3	62	http://www.imdb.com/title/tt1800401/
The Greater Meaning of Water	2010	Sky Christopherson	4.2	60	http://www.imdb.com/title/tt0479051/
Heart: The Marilyn Bell Story	2001	Manon Briand	7		http://www.imdb.com/title/tt0215835/
Golf Punks	1998	F. Harvey Frost	3.9		http://www.imdb.com/title/tt0165306/
Superdome	1978	Jerry Jameson	2.9	100	http://www.imdb.com/title/tt0078345/
Dawn!	1979	Ken Hannam	6.3	109	http://www.imdb.com/title/tt0079029/
Wildfire: The Arabian Heart	2010	Michael Vincent	4.8	88	http://www.imdb.com/title/tt1482957/
The Last Home Run	1996	Bob Gosse	6	93	http://www.imdb.com/title/tt0158719/
Royal Rumble	2003	Kevin Dunn	6.9	180	http://www.imdb.com/title/tt0350067/
Blonde Fist	1991	Frank Clarke	3.6	102	http://www.imdb.com/title/tt0101473/
The Kid from Left Field	1979	Adell Aldrich	5.7	100	http://www.imdb.com/title/tt0079399/
Journey to the West	2011	Brendon Culliton, Joe Hatoum			http://www.imdb.com/title/tt2477866/
Custody of the Heart	2000	David Jones	5.3	91	http://www.imdb.com/title/tt0246543/
Net Worth	1995	Jerry Ciccoritti	6.9	120	http://www.imdb.com/title/tt0113956/
The Boy Who Drank Too Much	1980	Jerrold Freedman	6.9	99	http://www.imdb.com/title/tt0080467/
Off the Lip	2004	Robert Mickelson	3.4	87	http://www.imdb.com/title/tt0223828/
My Summer with Des	1998	Simon Curtis	6.6	82	http://www.imdb.com/title/tt0144397/
Pigs vs. Freaks	1984	Dick Lowry	5.7	120	http://www.imdb.com/title/tt0087834/
Grunt! The Wrestling Movie	1985	Allan Holzman	4.7	90	http://www.imdb.com/title/tt0089233/
The Opponent	2000	Eugene Jarecki	5.3	90	http://www.imdb.com/title/tt0223856/
Miracle on the 17th Green	1999	Michael Switzer	5.1	100	http://www.imdb.com/title/tt0227060/
One in a Million: The Ron LeFlore Story	1977	William A. Graham	6.1	100	http://www.imdb.com/title/tt0078035/
Rodeo Girl	1980	Jackie Cooper	4.9	96	http://www.imdb.com/title/tt0081434/
Alex	1992	Megan Simpson	5.5	90	http://www.imdb.com/title/tt0106240/
Fighting Back	1980	Robert Lieberman	6.5	95	http://www.imdb.com/title/tt0080733/
The Abduction of Kari Swenson	1987	Stephen Gyllenhaal	5.7	104	http://www.imdb.com/title/tt0092506/
Full Throttle	1995	Mark Chapman	6.2	50	http://www.imdb.com/title/tt0212959/
Sports Illustrated: Swimsuit 2006	2006	Jonathan Hutchison	5.7	60	http://www.imdb.com/title/tt0933167/
The Gold and the Glory	1984	Igor Auzins	5.2	112	http://www.imdb.com/title/tt0087085/
Karate Killer	1976	Ivan Hall	4.3	90	http://www.imdb.com/title/tt0080999/
Play On	2010	David Story	5.1	99	http://www.imdb.com/title/tt1345506/
Fairway to Heaven	2007	Ryan Tower, Brandon Worswick	6.9	90	http://www.imdb.com/title/tt0844847/
Racquet	1979	David Winters	2.3	87	http://www.imdb.com/title/tt0079771/
Champion of Glory	2013	Desmond Dolly		80	http://www.imdb.com/title/tt1762244/
Boys of Summerville	2008	Brooks Benjamin	5	96	http://www.imdb.com/title/tt0940584/
WE: A Collection of Individuals	2012	Peter Alport, Cody Carter	2.8		http://www.imdb.com/title/tt2312300/
Golden Goal!	2008	Mirwan Suwarso	2.5	98	http://www.imdb.com/title/tt1202516/
The Sporting Club	1971	Larry Peerce	3.3	107	http://www.imdb.com/title/tt0067783/
Such Is Life	2008	Sky Pinnick		61	http://www.imdb.com/title/tt2055749/
Fully Loaded	1998	Kevin Dunn	6	180	http://www.imdb.com/title/tt0311170/
Tonya & Nancy: The Inside Story	1994	Larry Shaw	4.9	95	http://www.imdb.com/title/tt0111456/
Run for Your Life	1988	Terence Young	3.9		http://www.imdb.com/title/tt0093496/
Champions: A Love Story	1979	John A. Alonzo	6.5	100	http://www.imdb.com/title/tt0078951/
Crossing the Line	2002	Graeme Clifford	5.8	91	http://www.imdb.com/title/tt0323109/
Leaf	2008	Tim Carr	7		http://www.imdb.com/title/tt0923771/
Dare to Dream: The Story of the U.S. Women's Soccer Team	2007		7.4	77	http://www.imdb.com/title/tt1146435/
Waking Up Wally: The Walter Gretzky Story	2005	Dean Bennett	6.8		http://www.imdb.com/title/tt0446070/
Space Riders	1988	Joe Massot	2.9	99	http://www.imdb.com/title/tt0316649/
The First Kangaroos	1988	Frank Cvitanovich	7.1		http://www.imdb.com/title/tt0172455/
The Girl with Brains in Her Feet	1997	Roberto Bangura	6.3	98	http://www.imdb.com/title/tt0124653/
The Sports Pages	2001	Richard Benjamin	5	90	http://www.imdb.com/title/tt0218624/
Finish Line	1989	John Nicolella	5		http://www.imdb.com/title/tt0097358/
The World Awaits: De La Hoya vs. Mayweather	2007		6.2		http://www.imdb.com/title/tt1028577/
Footsteps	1972	Paul Wendkos	5.3	90	http://www.imdb.com/title/tt0068602/
The Ride	2003		7	87	http://www.imdb.com/title/tt0484187/
It's Good to Be Alive	1974	Michael Landon	6.8	100	http://www.imdb.com/title/tt0071676/
Tae-Bo Workout: Basic	1999		6.1		http://www.imdb.com/title/tt0194425/
Chinatown Film Project	2009	Miguel Arteta, Patty Chang	3.7	75	http://www.imdb.com/title/tt1512746/
Aunt Mary	1979	Peter Werner	6.7	98	http://www.imdb.com/title/tt0078810/
Inside Story	2011	Rolie Nikiwe	5.9	98	http://www.imdb.com/title/tt2231299/
Eleven Men Against Eleven	1995	Andy Hamilton	6	70	http://www.imdb.com/title/tt0127535/
Any Place But Home	1997	Rob Hedden	5.5	92	http://www.imdb.com/title/tt0118630/
The All-American Boy	1973	Charles Eastman	4.7	118	http://www.imdb.com/title/tt0069689/
Billy the Kid and the Green Baize Vampire	1987	Alan Clarke	5.4	121	http://www.imdb.com/title/tt0088807/
40 Minutes of Hell	2012	Kenan K. Holley	6.9		http://www.imdb.com/title/tt2302491/
3D Bikini Beach Babes Issue #4	2012	David S. Sterling		192	http://www.imdb.com/title/tt2400269/
Little Mo	1978	Daniel Haller	6	150	http://www.imdb.com/title/tt0077859/
Deuce Coupe	1992	Mark Deimel	4.6	106	http://www.imdb.com/title/tt0104094/
Dreamer	1979	Noel Nosseck	5.2	90	http://www.imdb.com/title/tt0079080/
Rise and Walk: The Dennis Byrd Story	1994	Michael Dinner	5.8	88	http://www.imdb.com/title/tt0110993/
Guarding Eddy	2004	Scott McKinsey	6.6	96	http://www.imdb.com/title/tt0417731/
Assisted Fishing	2012	Joe Crouch	7.1		http://www.imdb.com/title/tt1843107/
Foul Shot	2007	Danilo Mancinelli	3.6	75	http://www.imdb.com/title/tt0976035/
Past the Bleachers	1995	Michael Switzer	6.6	97	http://www.imdb.com/title/tt0114100/
Fists of Steel	1991	Jerry Schafer	6.1		http://www.imdb.com/title/tt0101890/
Vengeance	2011		6.6		http://www.imdb.com/title/tt2106745/
The Golden Moment: An Olympic Love Story	1980	Richard C. Sarafian	6.2	199	http://www.imdb.com/title/tt0080805/
Tempting Fate	1998	Peter Werner	5.6	96	http://www.imdb.com/title/tt0137156/
Murder Inside of Me	2009	David Sauers	7.3		http://www.imdb.com/title/tt0483746/
One Special Victory	1991	Stuart Cooper	5.8	96	http://www.imdb.com/title/tt0102596/
Bostock's Cup	1999	Marcus Mortimer	6.6	75	http://www.imdb.com/title/tt0201378/
A Charlie Brown Celebration	1982	Bill Melendez	7.3	60	http://www.imdb.com/title/tt0173721/
The Dreyfus Affair	????				http://www.imdb.com/title/tt0763838/
Dynasty	2009	Max Bervy	5.7		http://www.imdb.com/title/tt1585979/
The Playbook	2013	Darran Scott		107	http://www.imdb.com/title/tt2187139/
Soldiers of Paint	2013	Michael DeChant, Doug Gritzmacher	1.5		http://www.imdb.com/title/tt1634139/
A Minor Miracle	1983	Terrell Tannen	4.7	100	http://www.imdb.com/title/tt0085943/
Joe Torre: Curveballs Along the Way	1997	Sturla Gunnarsson	5.4	95	http://www.imdb.com/title/tt0128285/
The Goal	2005	Darla Rae	6.5	99	http://www.imdb.com/title/tt0479049/
Crossbar	1979	John Trent	5.6	78	http://www.imdb.com/title/tt0079012/
Second Wind	1976	Donald Shebib	5.2	93	http://www.imdb.com/title/tt0145459/
The Rhino Brothers	2002	Dwayne Beaver	5.6	93	http://www.imdb.com/title/tt0286922/
Slednecks 13	2010	Jason Moriarty	6.4	50	http://www.imdb.com/title/tt1784629/
AmerAsian	2009	Roger Lim	4	103	http://www.imdb.com/title/tt0437065/
Initial D: Third Stage	2001	Noboru Mitsusawa, Shishi Yamaguchi	7	100	http://www.imdb.com/title/tt0388130/
Tournament of Dreams	2007	Don Abernathy	3.3	88	http://www.imdb.com/title/tt0416263/
Big Brother Trouble	2000	Ralph Portillo	3.6	105	http://www.imdb.com/title/tt0243927/
Legend in Granite	1973		6.1	48	http://www.imdb.com/title/tt0186300/
The Baron and the Kid	1984	Gary Nelson	5.1	94	http://www.imdb.com/title/tt0086937/
Zalman King's Sex, Y & Z	2003	Zalman King		75	http://www.imdb.com/title/tt2574084/
MTV Sports & Music Festival 2	1998		3		http://www.imdb.com/title/tt0783240/
A Shining Season	1979	Stuart Margolin	6.9	100	http://www.imdb.com/title/tt0079905/
43: The Richard Petty Story	1972	Edward J. Lakso	6	83	http://www.imdb.com/title/tt0071085/
Striker	2011	Rishad Dastur, Ian Fisher	4.6	30	http://www.imdb.com/title/tt1802818/
Sports Illustrated: Swimsuit 2009	2009		6.5	22	http://www.imdb.com/title/tt1389377/
Harder They Fall	2005	Lee Cipolla	4.7	103	http://www.imdb.com/title/tt0464039/
Back Nine at Cherry Hills: The Legends of the 1960 U.S. Open	2008		6.2		http://www.imdb.com/title/tt1646955/
The St. Tammany Miracle	1994	Joy N. Houck Jr., Jim McCullough Sr.	3.5	90	http://www.imdb.com/title/tt0111273/
Duke-Carolina: The Blue Blood Rivalry	2013	Jason Rem		94	http://www.imdb.com/title/tt2780790/
Thin Ice	1995	Fiona Cunningham-Reid	6.7	78	http://www.imdb.com/title/tt0111413/
The Super Fight	1970	Murray Woroner	6.5		http://www.imdb.com/title/tt0065050/
Struck by Lightning	1990	Jerzy Domaradzki	6.9	105	http://www.imdb.com/title/tt0100709/
Coming Unglued	1999	Fred Gerber	5		http://www.imdb.com/title/tt0195605/
Run for the Dream: The Gail Devers Story	1996	Neema Barnette	5.8	99	http://www.imdb.com/title/tt0117527/
Steel Arena	1973	Mark L. Lester	5.4	98	http://www.imdb.com/title/tt0070730/
Heart of a Champion: The Ray Mancini Story	1985	Richard Michaels	5.2	94	http://www.imdb.com/title/tt0089261/
Busted Up	1986	Conrad E. Palmisano	3	93	http://www.imdb.com/title/tt0090782/
Ali: An American Hero	2000	Leon Ichaso	5.4	85	http://www.imdb.com/title/tt0229973/
Better Than Chocolate	2011	Haroun Souirji	7.5	61	http://www.imdb.com/title/tt2010919/
The Fix	1997	Paul Greengrass	7.4	90	http://www.imdb.com/title/tt0126303/
Mulligan	2000	Tim VandeSteeg	1.6		http://www.imdb.com/title/tt0216011/
Shirts/Skins	1973	William A. Graham	7.1	74	http://www.imdb.com/title/tt0070686/
Freedom Park	2004	Jon Artigo, Chad Meserve	4.5		http://www.imdb.com/title/tt0386474/
Bugs Bunny's Wild World of Sports	1989	Greg Ford, Terry Lennon	6.6	24	http://www.imdb.com/title/tt0155572/
Offside	2009	Gian Carlo Petraccaro	4.7	101	http://www.imdb.com/title/tt1693814/
Dear Mr. Fidrych	2009	Mike Cramer		118	http://www.imdb.com/title/tt1540847/
Game Theory	2009	Meredith Finkelstein, Paul Vlachos			http://www.imdb.com/title/tt1316048/
The Last Wild Race	2011	Brian J. Leitten		44	http://www.imdb.com/title/tt1901009/
The Great MacArthy	1975	David Baker	3.3	106	http://www.imdb.com/title/tt0073074/
Through Eyes of a Caddy, Golf Tips DVD, Featuring Carl Jackson	2012	Cathy Durant		58	http://www.imdb.com/title/tt2828234/
TLC: Tables, Ladders & Chairs	2011		7		http://www.imdb.com/title/tt2147533/
Golf Etiquette	1973		6.7		http://www.imdb.com/title/tt0228338/
Blades of Courage	1988	Randy Bradshaw	6.4	98	http://www.imdb.com/title/tt0094757/
Hit for Six	2007	Alison Saunders-Franklyn	3.7	99	http://www.imdb.com/title/tt1016184/
Inside Wrestling School	2000	Rick Bassman	4.7		http://www.imdb.com/title/tt1593289/
Mean Streak	1999	Tim Hunter	5.2	95	http://www.imdb.com/title/tt0182310/
Goodbye, Franklin High	1978	Mike MacFarland	5.5	94	http://www.imdb.com/title/tt0077623/
Win by Fall	2012	Chris Nickin	1		http://www.imdb.com/title/tt1694510/
tt2669620	????				http://www.imdb.com/title/tt2669620/
The Wrestling Road Diaries	2009	Eric Santamaria	6.8	180	http://www.imdb.com/title/tt2299573/
Power Play	1994	Rocky Lane	3.4	60	http://www.imdb.com/title/tt0162558/
One Leg Kicking	2001	Khoo Koh	4.4	90	http://www.imdb.com/title/tt0253399/
A Mancunian Story	2012	Craig Quinn	4	90	http://www.imdb.com/title/tt2223918/
Cast Alaska	2011	Kevin Morris, Sean Morris		80	http://www.imdb.com/title/tt2033965/
Three Strikes	2006	Lev L. Spiro	5.9		http://www.imdb.com/title/tt0844349/
California Girls	1983	William Webb	5.5	83	http://www.imdb.com/title/tt0230063/
Unflinching Triumph: The Philip Rockhammer Story	2007	Mark Decena	3.9	118	http://www.imdb.com/title/tt1068976/
Switch	2010	Ashley Glasser		90	http://www.imdb.com/title/tt1709809/
Who Shot Mamba?	2009	Dustin Pearlman	4	118	http://www.imdb.com/title/tt1153545/
Hey Rookie, Welcome to the NFL	2003		5.6		http://www.imdb.com/title/tt1466344/
You Must Remember This	1992	Helaine Head	5.3	103	http://www.imdb.com/title/tt0105876/
Strikeforce: Fedor vs. Silva	2011	Bob Dunphy, Craig Farrell	7.3		http://www.imdb.com/title/tt1841849/
Fight of the Century	1971		4.5		http://www.imdb.com/title/tt1076809/
Murder at the World Series	1977	Andrew V. McLaglen	6.3	100	http://www.imdb.com/title/tt0076424/
A Beachcombers Christmas	2004	Anne Wheeler	6.3	120	http://www.imdb.com/title/tt0440084/
The Streak	2008	Jonathan Hock	6.7		http://www.imdb.com/title/tt1161653/
Attack of La Niña	2011	Scott Gaffney, Murray Wais	7.6	73	http://www.imdb.com/title/tt2521086/
Champions Forever: The Latin Legends	1997	Lee Librado	3.3	93	http://www.imdb.com/title/tt0289109/
Crazy Canucks	2004	Randy Bradshaw	4.5		http://www.imdb.com/title/tt0391890/
Royal Rumble	2010		7.2	180	http://www.imdb.com/title/tt1706693/
The Flintstones Little Big League	1978		6.9	58	http://www.imdb.com/title/tt0193165/
The Way I See It	2010	Scott Gaffney		75	http://www.imdb.com/title/tt2524628/
Marciano	1979	Bernard L. Kowalski	4.8	104	http://www.imdb.com/title/tt0079528/
Forgotten Warrior	1986	Nick Cacas, Charlie Ordoñez	4	76	http://www.imdb.com/title/tt0291913/
Fame Whore	1997	Jon Moritsugu	6.5	73	http://www.imdb.com/title/tt0126902/
Stingers Rule!	2009	Martin Tempest	4.7	90	http://www.imdb.com/title/tt1451420/
Golden Will: The Silken Laumann Story	1996	Eric Till	3.7		http://www.imdb.com/title/tt0124682/
Walking on Air	1987	Ed Kaplan	6.7	55	http://www.imdb.com/title/tt0192769/
Official 2011 World Series Film	2011	Matthew Anderton, David Check	5	87	http://www.imdb.com/title/tt2147449/
Maurie	1973	Daniel Mann	5.8	113	http://www.imdb.com/title/tt0070377/
Into the Try Zone	????			120	http://www.imdb.com/title/tt2495276/
Flip a Coin	2011	Maarten Kempen, Henk van den Doel			http://www.imdb.com/title/tt1861331/
Girls Fight Club	2007	Uri Schwarz	4.5	60	http://www.imdb.com/title/tt1264089/
Lake Placid	2010	Steve Bellamy			http://www.imdb.com/title/tt2215233/
Bobby Cannon	2005	Barry Kemp	5.2		http://www.imdb.com/title/tt0887877/
The Greatest Thing That Almost Happened	1977	Gilbert Moses	6.2	100	http://www.imdb.com/title/tt0076110/
Shattered Glory: The Tonya Harding and Nancy Kerrigan Story	1994	Harold C. Whiteley		60	http://www.imdb.com/title/tt0926143/
Going for the Gold: The Bill Johnson Story	1985	Don Taylor	5.5	104	http://www.imdb.com/title/tt0089212/
Waldo the Dog	2010	Kris Canonizado	5.5	115	http://www.imdb.com/title/tt1615908/
The King and Us	2002	Derek Wax	6	30	http://www.imdb.com/title/tt0285263/
Clay Marzo: Just Add Water	2009	Quicksilver	4		http://www.imdb.com/title/tt1918738/
US Against the World	1977	Don Ohlmeyer		120	http://www.imdb.com/title/tt1358280/
Summer Nuts	2006	Mickey Fisher	5.1	90	http://www.imdb.com/title/tt0479310/
Untitled Women's Boxing Documentary	2013	Amy Berg			http://www.imdb.com/title/tt2406068/
Run for the Roses	1977	Henry Levin	4.9	93	http://www.imdb.com/title/tt0073643/
The United States of Football	2012	Sean Pamphilon		120	http://www.imdb.com/title/tt2311078/
Generation	1985	Michael J. Tuchner	4.9	120	http://www.imdb.com/title/tt0089193/
Unsalted: A Great Lakes Experience	2005	Vince Deur	6.7	57	http://www.imdb.com/title/tt1235813/
Sports Illustrated: Swimsuit 2008	2008	Jonathan Hutchison	6	30	http://www.imdb.com/title/tt1295915/
King Mo: Unrivaled	2013				http://www.imdb.com/title/tt2675458/
The Surfer	2011	Michael Yates		84	http://www.imdb.com/title/tt1980287/
Jeremy Jones' Further	2012		5.2	85	http://www.imdb.com/title/tt2713886/
The Players Club	2012	Jim Horkey			http://www.imdb.com/title/tt2380273/
JumpRopeSprint	2011	Stephen Ihli		81	http://www.imdb.com/title/tt2012599/
Nagano '98 Olympics: Bud Greenspan's Stories of Honor and Glory	1998	Bud Greenspan	6.2		http://www.imdb.com/title/tt0230560/
Ice Pawn	1989	Barry Samson	2.7	100	http://www.imdb.com/title/tt0167205/
The Monday Night Miracle	2007			190	http://www.imdb.com/title/tt1039977/
Small Town Hero	2010	Lawrence Kopelman		108	http://www.imdb.com/title/tt1189904/
Breaking Trail	2011	Noah Howell		65	http://www.imdb.com/title/tt2337736/
Challenge of a Lifetime	1985	Russ Mayberry	5.7	100	http://www.imdb.com/title/tt0088899/
Munich the Documentary	2008	Phil Matthews		90	http://www.imdb.com/title/tt1596327/
Loose Cannons: The Movie	2008	Andy Schlachtenhaufen	5.3	97	http://www.imdb.com/title/tt1224444/
Cheap Ski Movie	2010	Jack Turner		61	http://www.imdb.com/title/tt1605674/
Henry O!	2009	Ziad H. Hamzeh	4.7	76	http://www.imdb.com/title/tt1312974/
Softballs	2012	Matt O'Neil, Steve Shilson	2.1	89	http://www.imdb.com/title/tt2279538/
Arsenal Season Review 2009/2010	2010				http://www.imdb.com/title/tt1670625/
Mordy to the Max	2012	Marc Morgan		96	http://www.imdb.com/title/tt2369666/
Pitching Hope	2013	Tony Mendoza		90	http://www.imdb.com/title/tt1724969/
Flex	1988	Harry Grant, Pat Domenico		97	http://www.imdb.com/title/tt2076202/
The Demo Crew	2001	John E. Vitali	3.1	108	http://www.imdb.com/title/tt0159378/
Drop Zone: Fiji	2010	Greg Browning		53	http://www.imdb.com/title/tt1929239/
Knock on Wood	2008	Anthony Cupaiuolo		45	http://www.imdb.com/title/tt1322332/
Sunchasers	2011	Irvin Coffee			http://www.imdb.com/title/tt2011258/
Double Top	2012	Christopher Bolton			http://www.imdb.com/title/tt2145674/
Survive and Advance	2013	Jonathan Hock	7.4		http://www.imdb.com/title/tt2773038/
Wimbledon Official Film 2009	2009	Cathy Jones	5.2	52	http://www.imdb.com/title/tt1786765/
The Untouchables of Kentucky	2010	Alan Maffett Jr.		120	http://www.imdb.com/title/tt1864551/
Tash Force	2012	Michael Booth	4.4	84	http://www.imdb.com/title/tt1688701/
Death Match	2013	Raphael Socha			http://www.imdb.com/title/tt2230938/
Race Across the Sky 2010	2010	Frank Matson	6.4		http://www.imdb.com/title/tt1880310/
The Dream Factory	2012			88	http://www.imdb.com/title/tt2713938/
Spiker	1986	Roger Tilton	4.1	104	http://www.imdb.com/title/tt0091995/
An Epic Tale	2012	Katherine Millar, James Walsh		78	http://www.imdb.com/title/tt2148924/
Winter	2011	Steve Bellamy			http://www.imdb.com/title/tt2215765/
The Pugilist	2012	Jim Sonzero			http://www.imdb.com/title/tt2243617/
Shadowboxing	2013	Joshua Durham			http://www.imdb.com/title/tt2252716/
In the Wings	2010	Sarah Barbulesco		81	http://www.imdb.com/title/tt1722581/
The Alive Tribe	1997	Stephen Amis	4.1	90	http://www.imdb.com/title/tt0185855/
The Soccer Momster	2013			90	http://www.imdb.com/title/tt1555215/
Winter's Wind	2012	Matt Herriger		60	http://www.imdb.com/title/tt2306875/
tt2210885	????				http://www.imdb.com/title/tt2210885/
The Last Season	1986	Allan King	5.2	145	http://www.imdb.com/title/tt0125342/
Naseem Hamed	2011			100	http://www.imdb.com/title/tt1906433/
WWE Homecoming	2005	Kevin Dunn	5.5	185	http://www.imdb.com/title/tt0818143/
Glass Love	2004	Andrew Kidman	5.1	111	http://www.imdb.com/title/tt0482087/
Raven Fork	2010	Thomas Oliver		108	http://www.imdb.com/title/tt1704223/
Spirit of Snow	2002	Dave O'Leske		46	http://www.imdb.com/title/tt0483998/
Jake's How-To	2008	Vincent Buckley	2.7	93	http://www.imdb.com/title/tt1286559/
False Start	2001	Charlie Minn	2.5	90	http://www.imdb.com/title/tt0246409/
Wrestlemaniac	2008	Matthew James Sheridan	1.8	71	http://www.imdb.com/title/tt1598872/
TNA Wrestling: The Best of Jeff Hardy - Enigma	2005	Craig Leathers	6.9		http://www.imdb.com/title/tt1764624/
The Kings	2009	Alec Helm	4.3	129	http://www.imdb.com/title/tt1470691/
Beyond Gravity	2000	Aaron Black, Aaron Jackson	5.4	49	http://www.imdb.com/title/tt0481989/
Bollywood Aerobics: At Home with Rahul Nath	2011	Rahul Nath		65	http://www.imdb.com/title/tt2006698/
Carving the White	1993	James Angrove, Jon Long	4.5	80	http://www.imdb.com/title/tt0178300/
Lucid Dreams	2009			31	http://www.imdb.com/title/tt1547003/
Yougottagetthat!	2010	Brett Abramsky		38	http://www.imdb.com/title/tt1808696/
The Storming	2010	Travis Robb		45	http://www.imdb.com/title/tt1830862/
Throws of Passion	2010	Todd M. Jones	1.6	72	http://www.imdb.com/title/tt1528825/
How to Stoppie	2006	Drew Umland		90	http://www.imdb.com/title/tt1826694/
Cheeracise: Cheer Like a Pro	2006	Johnny Yong Bosch			http://www.imdb.com/title/tt0893318/
More Than a Game	1992	Joe Angio, Joel Cohen		48	http://www.imdb.com/title/tt1633225/
4th and Goal	2009	Todd Culberhouse	4.6		http://www.imdb.com/title/tt1265293/
The Man with the Perfect Swing	1995	Michael Hovis	6.3	95	http://www.imdb.com/title/tt0113759/
Smoke City	2012	Andrew P. Aguilar, Rick Chapman		57	http://www.imdb.com/title/tt2720854/
Redemption Ride	2011	Mike Dornbirer		109	http://www.imdb.com/title/tt2484690/
Perfect Profile	1989	Jim C. Harris	3.2		http://www.imdb.com/title/tt0098079/
Yoga Journal's Yoga for Beginners	1988	Steven Adams, Martin Pitts	5.9		http://www.imdb.com/title/tt0235078/
The Indy Wrestler	2011		7.4		http://www.imdb.com/title/tt2022562/
A Giant Awakens	2009	Sylvain Doreau	5.2	52	http://www.imdb.com/title/tt1541598/
Red Bull Rampage	2010	Derek Westerlund	6.3		http://www.imdb.com/title/tt2521738/
Inside Teahupoo	2008	Rob Bruce			http://www.imdb.com/title/tt2419392/
Xtreme Backyard Wrestling: The Reunion	2010	Aaron Saia		163	http://www.imdb.com/title/tt1774680/
Something Between	2013	Antonin Michaud Soret			http://www.imdb.com/title/tt2664068/
Hoops: It's Not Just a Game	2010	Ford Austin, Marc Wasserman		81	http://www.imdb.com/title/tt1602525/
Pump It Up: The Warrior's Path	2012	Joseph William Greene		70	http://www.imdb.com/title/tt2508468/
Dirk Hartog Island Unleashed	2012	Richard Connery			http://www.imdb.com/title/tt2210560/
2076 Olympiad	1977	James R. Martin	6	90	http://www.imdb.com/title/tt0259826/
Enjoy	2007	Sky Pinnick		61	http://www.imdb.com/title/tt2053355/
The Adversary	1970	Larry Klein		75	http://www.imdb.com/title/tt0185845/
WWE: TLC - Tables Ladders Chairs	2000	Kevin Dunn	7.8		http://www.imdb.com/title/tt1459018/
Parkour Race	2013	Pierre Schantz		14	http://www.imdb.com/title/tt2720084/
Dexter Jackson: Unbreakable	2010	Alex Ardenti			http://www.imdb.com/title/tt1876295/
Re: Session	2009			65	http://www.imdb.com/title/tt2714402/
Bolo	2013	Mickey Reece		70	http://www.imdb.com/title/tt2545558/
Mort	2005	Kyle B. Thompson	6.1		http://www.imdb.com/title/tt0135986/
Floyd Patterson vs. Oscar Bonavena	1972				http://www.imdb.com/title/tt2360694/
The Bowling Club	2009	Luca Rocchini		10	http://www.imdb.com/title/tt1686800/
Ice Dancing the Raw Edge	2013	Jim Ford		86	http://www.imdb.com/title/tt2359750/
