Title	Genres	Year	Directors	IMDb Rating	Runtime (mins)	URL
Trick 'r Treat	comedy, horror, thriller	2007	Michael Dougherty	6.7	82	http://www.imdb.com/title/tt0862856/
Eden Lake	horror, thriller	2008	James Watkins	6.9	91	http://www.imdb.com/title/tt1020530/
The Midnight Meat Train	horror, mystery, thriller	2008	Ryuhei Kitamura	6.2	98	http://www.imdb.com/title/tt0805570/
Dead Alive	comedy, horror	1992	Peter Jackson	7.5	104	http://www.imdb.com/title/tt0103873/
End of Days	action, horror, thriller	1999	Peter Hyams	5.6	121	http://www.imdb.com/title/tt0146675/
Queen of the Damned	fantasy, horror, music	2002	Michael Rymer	4.9	101	http://www.imdb.com/title/tt0238546/
The Ring Two	horror, mystery, thriller	2005	Hideo Nakata	5.2	110	http://www.imdb.com/title/tt0377109/
Grabbers	comedy, horror, sci_fi, thriller	2012	Jon Wright	6.1	94	http://www.imdb.com/title/tt1525366/
Absentia	drama, horror, mystery	2011	Mike Flanagan	5.6	87	http://www.imdb.com/title/tt1610996/
Christine	drama, horror, mystery, thriller	1983	John Carpenter	6.5	110	http://www.imdb.com/title/tt0085333/
The Omen	horror, mystery, thriller	2006	John Moore	5.4	110	http://www.imdb.com/title/tt0466909/
The Texas Chainsaw Massacre: The Beginning	horror, thriller	2006	Jonathan Liebesman	5.8	91	http://www.imdb.com/title/tt0420294/
The Snowtown Murders	biography, crime, drama, history	2011	Justin Kurzel	6.6	119	http://www.imdb.com/title/tt1680114/
Lovely Molly	drama, horror	2011	Eduardo Sánchez	5.2	99	http://www.imdb.com/title/tt1707392/
Mother's Day	crime, drama, horror, thriller	2010	Darren Lynn Bousman	6.1	112	http://www.imdb.com/title/tt1434435/
Dark Water	drama, horror, thriller	2005	Walter Salles	5.5	105	http://www.imdb.com/title/tt0382628/
Jeepers Creepers II	horror, thriller	2003	Victor Salva	5.4	104	http://www.imdb.com/title/tt0301470/
When the Lights Went Out	drama, horror, thriller	2012	Pat Holden	5.2	86	http://www.imdb.com/title/tt1743993/
