Title	Genres	Year	Directors	IMDb Rating	Runtime (mins)	URL
Some Mother's Son	drama, history	1996	Terry George	7	112	http://www.imdb.com/title/tt0117690/
Paradise Road	drama, history, war	1997	Bruce Beresford	6.5	122	http://www.imdb.com/title/tt0119859/
Breaker Morant	drama, history, war	1980	Bruce Beresford	7.8	107	http://www.imdb.com/title/tt0080310/
Pat Garrett & Billy the Kid	drama, history, western	1973	Sam Peckinpah	7.3	122	http://www.imdb.com/title/tt0070518/
Coco Chanel	history, romance	2008	Christian Duguay	6.7	139	http://www.imdb.com/title/tt1094661/
The Baby of Mâcon	drama, history	1993	Peter Greenaway	6.5	122	http://www.imdb.com/title/tt0106335/
The Beast of War	drama, history, war	1988	Kevin Reynolds	7.2	111	http://www.imdb.com/title/tt0094716/
Julius Caesar	drama, history, war	1970	Stuart Burge	6	117	http://www.imdb.com/title/tt0065922/
A Royal Affair	drama, history, romance	2012	Nikolaj Arcel	7.5	137	http://www.imdb.com/title/tt1276419/
Tombstone	action, drama, history, romance, western	1993	George P. Cosmatos	7.7	130	http://www.imdb.com/title/tt0108358/
Walking with the Enemy	action, drama, history, romance, war	2013	Mark Schmidt			http://www.imdb.com/title/tt1515208/
The Count of Monte Cristo	action, adventure, drama, history, romance, thriller	2002	Kevin Reynolds	7.6	131	http://www.imdb.com/title/tt0245844/
Pocahontas	animation, adventure, drama, family, history, musical, romance	1995	Mike Gabriel, Eric Goldberg	6.3	81	http://www.imdb.com/title/tt0114148/
Australia	adventure, drama, history, romance, war	2008	Baz Luhrmann	6.6	165	http://www.imdb.com/title/tt0455824/
Black Hawk Down	drama, history, war	2001	Ridley Scott	7.7	144	http://www.imdb.com/title/tt0265086/
Centurion	action, adventure, drama, history, thriller, war	2010	Neil Marshall	6.4	97	http://www.imdb.com/title/tt1020558/
We Were Soldiers	action, drama, history, war	2002	Randall Wallace	7	138	http://www.imdb.com/title/tt0277434/
The Conspirator	crime, drama, history	2010	Robert Redford	6.9	122	http://www.imdb.com/title/tt0968264/
Escape from Alcatraz	crime, drama, history, thriller	1979	Donald Siegel	7.6	112	http://www.imdb.com/title/tt0079116/
All the President's Men	drama, history, mystery, thriller	1976	Alan J. Pakula	8	138	http://www.imdb.com/title/tt0074119/
The Mission	adventure, drama, history	1986	Roland Joffé	7.4	125	http://www.imdb.com/title/tt0091530/
Das Boot	action, adventure, drama, history, war	1981	Wolfgang Petersen	8.4	149	http://www.imdb.com/title/tt0082096/
Windtalkers	action, history, war	2002	John Woo	5.9	134	http://www.imdb.com/title/tt0245562/
Gallipoli	adventure, drama, history, war	1981	Peter Weir	7.5	110	http://www.imdb.com/title/tt0082432/
Kagemusha	drama, history, war	1980	Akira Kurosawa	7.9	180	http://www.imdb.com/title/tt0080979/
Red Cliff	action, adventure, drama, history, war	2008	John Woo	7.3	146	http://www.imdb.com/title/tt0425637/
9th Company	action, drama, history, war	2005	Fedor Bondarchuk	7	139	http://www.imdb.com/title/tt0417397/
The Warlords	action, drama, history, war	2007	Peter Chan, Wai Man Yip	7	126	http://www.imdb.com/title/tt0913968/
A Passage to India	adventure, drama, history	1984	David Lean	7.3	164	http://www.imdb.com/title/tt0087892/
Rosewood	action, drama, history	1997	John Singleton	6.9	140	http://www.imdb.com/title/tt0120036/
North Face	adventure, drama, history, sport	2008	Philipp Stölzl	7.3	126	http://www.imdb.com/title/tt0844457/
Europa Europa	drama, history, war	1990	Agnieszka Holland	7.6	112	http://www.imdb.com/title/tt0099776/
Eight Men Out	drama, history, sport	1988	John Sayles	7.2	119	http://www.imdb.com/title/tt0095082/
Schindler's List	biography, drama, history, war	1993	Steven Spielberg	8.9	195	http://www.imdb.com/title/tt0108052/
Lincoln	biography, drama, history, war	2012	Steven Spielberg	7.5	150	http://www.imdb.com/title/tt0443272/
The King's Speech	biography, drama, history	2010	Tom Hooper	8.1	118	http://www.imdb.com/title/tt1504320/
The Pianist	biography, drama, history, war	2002	Roman Polanski	8.5	150	http://www.imdb.com/title/tt0253474/
Public Enemies	biography, crime, drama, history	2009	Michael Mann	7	140	http://www.imdb.com/title/tt1152836/
J. Edgar	biography, crime, drama, history	2011	Clint Eastwood	6.6	137	http://www.imdb.com/title/tt1616195/
Hyde Park on Hudson	biography, comedy, drama, history	2012	Roger Michell	5.7	94	http://www.imdb.com/title/tt1477855/
The Iron Lady	biography, drama, history	2011	Phyllida Lloyd	6.3	105	http://www.imdb.com/title/tt1007029/
Hotel Rwanda	biography, drama, history, war	2004	Terry George	8.2	121	http://www.imdb.com/title/tt0395169/
Invictus	biography, drama, history, sport	2009	Clint Eastwood	7.3	134	http://www.imdb.com/title/tt1057500/
The New World	biography, drama, history, romance	2005	Terrence Malick	6.7	135	http://www.imdb.com/title/tt0402399/
Milk	biography, drama, history	2008	Gus Van Sant	7.6	128	http://www.imdb.com/title/tt1013753/
The Last King of Scotland	biography, drama, history	2006	Kevin Macdonald	7.7	121	http://www.imdb.com/title/tt0455590/
Hunger	biography, drama, history	2008	Steve McQueen	7.6	96	http://www.imdb.com/title/tt0986233/
Marie Antoinette	biography, drama, history	2006	Sofia Coppola	6.3	123	http://www.imdb.com/title/tt0422720/
Charlie Wilson's War	biography, comedy, drama, history	2007	Mike Nichols	7.1	102	http://www.imdb.com/title/tt0472062/
The Assassination of Jesse James by the Coward Robert Ford	biography, crime, drama, history, western	2007	Andrew Dominik	7.6	160	http://www.imdb.com/title/tt0443680/
Malcolm X	biography, drama, history	1992	Spike Lee	7.6	202	http://www.imdb.com/title/tt0104797/
Elizabeth: The Golden Age	biography, drama, history	2007	Shekhar Kapur	6.8	114	http://www.imdb.com/title/tt0414055/
W.	biography, drama, history	2008	Oliver Stone	6.4	129	http://www.imdb.com/title/tt1175491/
The Young Victoria	biography, drama, history, romance	2009	Jean-Marc Vallée	7.2	105	http://www.imdb.com/title/tt0962736/
Breach	biography, crime, drama, history, thriller	2007	Billy Ray	7	110	http://www.imdb.com/title/tt0401997/
The Duchess	biography, drama, history, romance	2008	Saul Dibb	6.8	110	http://www.imdb.com/title/tt0864761/
Game Change	biography, drama, history	2012	Jay Roach	7.4	118	http://www.imdb.com/title/tt1848902/
Cadillac Records	biography, drama, history, music, romance	2008	Darnell Martin	6.7	109	http://www.imdb.com/title/tt1042877/
Made in Dagenham	biography, comedy, drama, history	2010	Nigel Cole	7.1	113	http://www.imdb.com/title/tt1371155/
Patton	biography, drama, history, war	1970	Franklin J. Schaffner	8	172	http://www.imdb.com/title/tt0066206/
The Messenger: The Story of Joan of Arc	adventure, biography, drama, history, war	1999	Luc Besson	6.3	158	http://www.imdb.com/title/tt0151137/
Amazing Grace	biography, drama, history, romance	2006	Michael Apted	7.4	117	http://www.imdb.com/title/tt0454776/
A Mighty Heart	biography, drama, history, thriller, war	2007	Michael Winterbottom	6.6	108	http://www.imdb.com/title/tt0829459/
The Lady	biography, drama, history, romance	2011	Luc Besson	6.9	132	http://www.imdb.com/title/tt1802197/
Attila	action, adventure, biography, drama, history, romance, war	2001	Dick Lowry	6.6	177	http://www.imdb.com/title/tt0259127/
Hollywoodland	biography, crime, drama, history, mystery, romance, thriller	2006	Allen Coulter	6.5	126	http://www.imdb.com/title/tt0427969/
Hitler: The Rise of Evil	biography, drama, history, war	2003	Christian Duguay	7.2	130	http://www.imdb.com/title/tt0346293/
The Message	adventure, biography, drama, history	1977	Moustapha Akkad	8	177	http://www.imdb.com/title/tt0074896/
Reds	biography, drama, history, romance	1981	Warren Beatty	7.3	195	http://www.imdb.com/title/tt0082979/
Evita	biography, drama, history, musical, thriller	1996	Alan Parker	6.1	135	http://www.imdb.com/title/tt0116250/
Ned Kelly	action, adventure, biography, crime, history, western	2003	Gregor Jordan	6.4	110	http://www.imdb.com/title/tt0277941/
Henry V	action, biography, drama, history, romance, war	1989	Kenneth Branagh	7.7	137	http://www.imdb.com/title/tt0097499/
1492: Conquest of Paradise	adventure, biography, drama, history	1992	Ridley Scott	6.3	154	http://www.imdb.com/title/tt0103594/
Alexander	action, adventure, biography, drama, history, romance, war	2004	Oliver Stone	5.4	175	http://www.imdb.com/title/tt0346491/
The Other Boleyn Girl	biography, drama, history, romance	2008	Justin Chadwick	6.7	115	http://www.imdb.com/title/tt0467200/
Braveheart	action, biography, drama, history, war	1995	Mel Gibson	8.4	177	http://www.imdb.com/title/tt0112573/
Gandhi	biography, drama, history	1982	Richard Attenborough	8.1	191	http://www.imdb.com/title/tt0083987/
The Last Emperor	biography, drama, history	1987	Bernardo Bertolucci	7.8	163	http://www.imdb.com/title/tt0093389/
Seven Years in Tibet	adventure, biography, drama, history, war	1997	Jean-Jacques Annaud	6.8	136	http://www.imdb.com/title/tt0120102/
Max Manus: Man of War	action, biography, drama, history, war	2008	Joachim Rønning, Espen Sandberg	7.2	118	http://www.imdb.com/title/tt1029235/
Up from Slavery	documentary, biography, history	2011	Kevin Hershberger	6.4	315	http://www.imdb.com/title/tt1935942/
Luther	biography, drama, history	2003	Eric Till	6.6	123	http://www.imdb.com/title/tt0309820/
61*	biography, drama, history, sport	2001	Billy Crystal	7.7	129	http://www.imdb.com/title/tt0250934/
Kundun	biography, drama, history, war	1997	Martin Scorsese	6.9	134	http://www.imdb.com/title/tt0119485/
Mrs Brown	biography, drama, history, romance	1997	John Madden	7.2	105	http://www.imdb.com/title/tt0119280/
Cry Freedom	biography, drama, history	1987	Richard Attenborough	7.3	157	http://www.imdb.com/title/tt0092804/
Joan of Arc	adventure, biography, drama, history	1999	Christian Duguay	6.6	140	http://www.imdb.com/title/tt0178145/
Restoration	biography, drama, history, romance	1995	Michael Hoffman	6.5	117	http://www.imdb.com/title/tt0114272/
Lady Jane	biography, drama, history, romance	1986	Trevor Nunn	7	142	http://www.imdb.com/title/tt0091374/
Bathory: Countess of Blood	biography, drama, fantasy, history	2008	Juraj Jakubisko	5.8	141	http://www.imdb.com/title/tt0469640/
Eichmann	biography, drama, history, war	2007	Robert Young	5.9	96	http://www.imdb.com/title/tt0901481/
Heaven & Earth	action, biography, drama, history, war	1993	Oliver Stone	6.7	140	http://www.imdb.com/title/tt0107096/
The Madness of King George	biography, comedy, drama, history	1994	Nicholas Hytner	7.2	107	http://www.imdb.com/title/tt0110428/
Goodbye Bafana	biography, drama, history	2007	Bille August	7	118	http://www.imdb.com/title/tt0438859/
Talk to Me	biography, drama, history, music, war	2007	Kasi Lemmons	7.2	118	http://www.imdb.com/title/tt0796368/
Citizen X	biography, crime, drama, history, thriller	1995	Chris Gerolmo	7.6	105	http://www.imdb.com/title/tt0112681/
Lion of the Desert	biography, drama, history, war	1981	Moustapha Akkad	7.7	173	http://www.imdb.com/title/tt0081059/
Fat Man and Little Boy	biography, drama, history, war	1989	Roland Joffé	6.4	127	http://www.imdb.com/title/tt0097336/
Catch a Fire	biography, drama, history	2006	Phillip Noyce	6.6	101	http://www.imdb.com/title/tt0437232/
My Boy Jack	biography, drama, history, war	2007	Brian Kirk	7.2	93	http://www.imdb.com/title/tt0851430/
Bugsy	biography, crime, drama, history	1991	Barry Levinson	6.7	136	http://www.imdb.com/title/tt0101516/
Holy Rollers	biography, crime, drama, history	2010	Kevin Asch	5.8	89	http://www.imdb.com/title/tt1143896/
Van Diemen's Land	biography, drama, history	2009	Jonathan auf der Heide	5.8	104	http://www.imdb.com/title/tt1361843/
Wilde	biography, drama, history	1997	Brian Gilbert	6.8	118	http://www.imdb.com/title/tt0120514/
