Title	Genres	Year	Directors	IMDb Rating	Runtime (mins)	URL
Up in the Air	drama, romance	2009	Jason Reitman	7.5	109	http://www.imdb.com/title/tt1193138/
Stardust	adventure, family, fantasy, romance	2007	Matthew Vaughn	7.7	127	http://www.imdb.com/title/tt0486655/
Romeo + Juliet	drama, romance	1996	Baz Luhrmann	6.8	120	http://www.imdb.com/title/tt0117509/
Grease	musical, romance	1978	Randal Kleiser	7.1	110	http://www.imdb.com/title/tt0077631/
Friends with Kids	comedy, drama, romance	2011	Jennifer Westfeldt	6.1	107	http://www.imdb.com/title/tt1720616/
The Ugly Truth	comedy, romance	2009	Robert Luketic	6.4	96	http://www.imdb.com/title/tt1142988/
Rust and Bone	drama, romance	2012	Jacques Audiard	7.5	120	http://www.imdb.com/title/tt2053425/
Definitely, Maybe	comedy, drama, romance	2008	Adam Brooks	7.1	112	http://www.imdb.com/title/tt0832266/
I Give It a Year	comedy, romance	2013	Dan Mazer	5.9	97	http://www.imdb.com/title/tt2244901/
Think Like a Man	comedy, romance	2012	Tim Story	6.1	122	http://www.imdb.com/title/tt1621045/
The Twilight Saga: New Moon	adventure, drama, fantasy, romance	2009	Chris Weitz	4.5	130	http://www.imdb.com/title/tt1259571/
Zack and Miri Make a Porno	comedy, romance	2008	Kevin Smith	6.7	101	http://www.imdb.com/title/tt1007028/
P.S. I Love You	drama, romance	2007	Richard LaGravenese	6.9	126	http://www.imdb.com/title/tt0431308/
Love & Other Drugs	comedy, drama, romance	2010	Edward Zwick	6.6	112	http://www.imdb.com/title/tt0758752/
Romeo and Juliet	drama, romance	2013	Carlo Carlei			http://www.imdb.com/title/tt1645131/
Hit and Run	action, comedy, romance	2012	David Palmer, Dax Shepard	6	100	http://www.imdb.com/title/tt2097307/
Amélie	comedy, romance	2001	Jean-Pierre Jeunet	8.5	122	http://www.imdb.com/title/tt0211915/
Prince of Persia: The Sands of Time	action, adventure, fantasy, romance	2010	Mike Newell	6.6	116	http://www.imdb.com/title/tt0473075/
The Devil Wears Prada	comedy, drama, romance	2006	David Frankel	6.7	109	http://www.imdb.com/title/tt0458352/
Little Manhattan	comedy, family, romance	2005	Mark Levin	7.5	84	http://www.imdb.com/title/tt0412922/
Amour	drama, romance	2012	Michael Haneke	7.9	127	http://www.imdb.com/title/tt1602620/
Atonement	drama, mystery, romance, war	2007	Joe Wright	7.8	123	http://www.imdb.com/title/tt0783233/
The Curious Case of Benjamin Button	drama, fantasy, romance	2008	David Fincher	7.8	166	http://www.imdb.com/title/tt0421715/
3 Idiots	comedy, drama, romance	2009	Rajkumar Hirani	8.3	170	http://www.imdb.com/title/tt1187043/
The Next Three Days	crime, drama, romance, thriller	2010	Paul Haggis	7.3	133	http://www.imdb.com/title/tt1458175/
Cold Mountain	drama, romance, war	2003	Anthony Minghella	7.2	154	http://www.imdb.com/title/tt0159365/
Hope Springs	comedy, drama, romance	2012	David Frankel	6.3	100	http://www.imdb.com/title/tt1535438/
Life Is Beautiful	comedy, drama, romance, war	1997	Roberto Benigni, Rod Dean	8.5	116	http://www.imdb.com/title/tt0118799/
The Proposal	comedy, drama, romance	2009	Anne Fletcher	6.7	108	http://www.imdb.com/title/tt1041829/
Ek Thi Daayan	horror, romance, thriller	2013	Kannan Iyer	5.7		http://www.imdb.com/title/tt2406676/
The Twilight Saga: Eclipse	adventure, drama, fantasy, romance	2010	David Slade	4.8	124	http://www.imdb.com/title/tt1325004/
17 Again	comedy, drama, fantasy, romance	2009	Burr Steers	6.3	102	http://www.imdb.com/title/tt0974661/
New Year's Eve	comedy, romance	2011	Garry Marshall	5.4	118	http://www.imdb.com/title/tt1598822/
The Artist	comedy, drama, romance	2011	Michel Hazanavicius	8	100	http://www.imdb.com/title/tt1655442/
A Walk to Remember	drama, romance	2002	Adam Shankman	7.2	101	http://www.imdb.com/title/tt0281358/
Groundhog Day	comedy, drama, fantasy, romance	1993	Harold Ramis	8.1	101	http://www.imdb.com/title/tt0107048/
Brokeback Mountain	drama, romance	2005	Ang Lee	7.6	134	http://www.imdb.com/title/tt0388795/
It's Complicated	comedy, romance	2009	Nancy Meyers	6.5	120	http://www.imdb.com/title/tt1230414/
Sex and the City	comedy, drama, romance	2008	Michael Patrick King	5.2	145	http://www.imdb.com/title/tt1000774/
10 Years	comedy, drama, romance	2011	Jamie Linden	6	100	http://www.imdb.com/title/tt1715873/
King Kong	action, adventure, drama, romance	2005	Peter Jackson	7.3	187	http://www.imdb.com/title/tt0360717/
The Little Mermaid	animation, family, fantasy, musical, romance	1989	Ron Clements, John Musker	7.5	83	http://www.imdb.com/title/tt0097757/
Legend	fantasy, adventure, romance	1985	Ridley Scott	6.3	94	http://www.imdb.com/title/tt0089469/
I Love You, Man	comedy, romance	2009	John Hamburg	7.1	105	http://www.imdb.com/title/tt1155056/
John Tucker Must Die	comedy, romance	2006	Betty Thomas	5.6	89	http://www.imdb.com/title/tt0455967/
One Day	drama, romance	2011	Lone Scherfig	6.8	107	http://www.imdb.com/title/tt1563738/
Closer Than Love	romance, sci_fi	2013				http://www.imdb.com/title/tt2175599/
Love Is All You Need	comedy, romance	2012	Susanne Bier	6.4	116	http://www.imdb.com/title/tt1854236/
Enchanted	comedy, family, fantasy, musical, romance	2007	Kevin Lima	7.2	107	http://www.imdb.com/title/tt0461770/
The Little Rascals	comedy, family, romance	1994	Penelope Spheeris	5.9	82	http://www.imdb.com/title/tt0110366/
The Illusionist	drama, mystery, romance, thriller	2006	Neil Burger	7.6	110	http://www.imdb.com/title/tt0443543/
How Do You Know	comedy, drama, romance	2010	James L. Brooks	5.3	121	http://www.imdb.com/title/tt1341188/
To Rome with Love	comedy, romance	2012	Woody Allen	6.3	112	http://www.imdb.com/title/tt1859650/
Footloose	comedy, drama, music, romance	2011	Craig Brewer	5.5	113	http://www.imdb.com/title/tt1068242/
Click	comedy, drama, fantasy, romance	2006	Frank Coraci	6.4	107	http://www.imdb.com/title/tt0389860/
Moulin Rouge!	drama, musical, romance	2001	Baz Luhrmann	7.6	127	http://www.imdb.com/title/tt0203009/
Ice Age: Dawn of the Dinosaurs	animation, action, adventure, comedy, family, romance, sci_fi	2009	Carlos Saldanha, Mike Thurmeier	7	94	http://www.imdb.com/title/tt1080016/
Date Night	comedy, crime, romance, thriller	2010	Shawn Levy	6.3	88	http://www.imdb.com/title/tt1279935/
Something Borrowed	comedy, drama, romance	2011	Luke Greenfield	5.7	112	http://www.imdb.com/title/tt0491152/
Pearl Harbor	action, drama, romance, war	2001	Michael Bay	5.8	183	http://www.imdb.com/title/tt0213149/
Edward Scissorhands	drama, fantasy, romance	1990	Tim Burton	8	105	http://www.imdb.com/title/tt0099487/
A Royal Affair	drama, history, romance	2012	Nikolaj Arcel	7.5	137	http://www.imdb.com/title/tt1276419/
It's Kind of a Funny Story	comedy, drama, romance	2010	Anna Boden, Ryan Fleck	7.1	101	http://www.imdb.com/title/tt0804497/
Now Is Good	drama, romance	2012	Ol Parker	6.8	103	http://www.imdb.com/title/tt1937264/
Step Up 3D	drama, music, romance	2010	Jon M. Chu	5.8	107	http://www.imdb.com/title/tt1193631/
50 First Dates	comedy, romance	2004	Peter Segal	6.7	99	http://www.imdb.com/title/tt0343660/
Pretty Woman	comedy, romance	1990	Garry Marshall	6.8	119	http://www.imdb.com/title/tt0100405/
Dear John	drama, romance, war	2010	Lasse Hallström	6	108	http://www.imdb.com/title/tt0989757/
She's the Man	comedy, romance	2006	Andy Fickman	6.3	105	http://www.imdb.com/title/tt0454945/
The Tourist	action, romance, thriller	2010	Florian Henckel von Donnersmarck	5.9	103	http://www.imdb.com/title/tt1243957/
Clueless	comedy, romance	1995	Amy Heckerling	6.6	97	http://www.imdb.com/title/tt0112697/
The Oranges	comedy, romance, drama	2011	Julian Farino	5.7	90	http://www.imdb.com/title/tt1313139/
