Title	Genres	Year	Directors	IMDb Rating	Runtime (mins)	URL
The Frisco Kid	comedy, western	1979	Robert Aldrich	6.1	114	http://www.imdb.com/title/tt0079180/
Red Hill	thriller, western	2010	Patrick Hughes	6.4	95	http://www.imdb.com/title/tt1530983/
Tom and Huck	adventure, comedy, drama, family, western	1995	Peter Hewitt	5.5	97	http://www.imdb.com/title/tt0112302/
One-Eyed Jacks	western	1961	Marlon Brando	7.1	141	http://www.imdb.com/title/tt0055257/
The Long Riders	history, western	1980	Walter Hill	7	100	http://www.imdb.com/title/tt0081071/
Lone Wolf McQuade	action, crime, drama, thriller, western	1983	Steve Carver	6	107	http://www.imdb.com/title/tt0085862/
Meek's Cutoff	drama, western	2010	Kelly Reichardt	6.5	104	http://www.imdb.com/title/tt1518812/
Support Your Local Sheriff!	comedy, western	1969	Burt Kennedy	7.4	92	http://www.imdb.com/title/tt0065051/
Hombre	western	1967	Martin Ritt	7.3	111	http://www.imdb.com/title/tt0061770/
The Newton Boys	action, crime, drama, history, western	1998	Richard Linklater	5.8	113	http://www.imdb.com/title/tt0120769/
McLintock!	comedy, romance, western	1963	Andrew V. McLaglen	7	127	http://www.imdb.com/title/tt0057298/
Red Dead Redemption	action, adventure, western	2010	Rod Edge, John Zurhellen	9.3		http://www.imdb.com/title/tt1479962/
Dead Birds	horror, thriller, western	2004	Alex Turner	5.6	91	http://www.imdb.com/title/tt0377749/
The Beguiled	drama, romance, war, western	1971	Donald Siegel	7.1	105	http://www.imdb.com/title/tt0066819/
Heaven's Gate	drama, history, romance, western	1980	Michael Cimino	6.6	219	http://www.imdb.com/title/tt0080855/
The Sons of Katie Elder	western	1965	Henry Hathaway	7.1	122	http://www.imdb.com/title/tt0059740/
Paint Your Wagon	comedy, drama, musical, romance, western	1969	Joshua Logan	6.5	158	http://www.imdb.com/title/tt0064782/
From Dusk Till Dawn 3: The Hangman's Daughter	horror, thriller, western	1999	P.J. Pesce	4.7	94	http://www.imdb.com/title/tt0120695/
The Professionals	action, adventure, western	1966	Richard Brooks	7.3	117	http://www.imdb.com/title/tt0060862/
The Cowboys	adventure, comedy, drama, western	1972	Mark Rydell	7.1	131	http://www.imdb.com/title/tt0068421/
BloodRayne: Deliverance	action, fantasy, western	2007	Uwe Boll	2.7	99	http://www.imdb.com/title/tt0896036/
Urban Cowboy	drama, western	1980	James Bridges	5.9	132	http://www.imdb.com/title/tt0081696/
Renegade	adventure, western	2004	Jan Kounen	5.1	124	http://www.imdb.com/title/tt0276830/
Cat Ballou	comedy, musical, western	1965	Elliot Silverstein	6.8	97	http://www.imdb.com/title/tt0059017/
The Alamo	adventure, drama, history, war, western	1960	John Wayne	6.7	167	http://www.imdb.com/title/tt0053580/
Walker, Texas Ranger	action, crime, drama, western	1993	Joe Coppoletta, Jerry Jameson	5	43	http://www.imdb.com/title/tt0106168/
Coogan's Bluff	action, crime, drama, thriller, western	1968	Donald Siegel	6.5	93	http://www.imdb.com/title/tt0062824/
Cannibal! The Musical	biography, comedy, musical, thriller, western	1993	Trey Parker	7	95	http://www.imdb.com/title/tt0115819/
Home on the Range	animation, comedy, family, music, western	2004	Will Finn, John Sanford	5.3	76	http://www.imdb.com/title/tt0299172/
Ride with the Devil	drama, romance, war, western	1999	Ang Lee	6.6	138	http://www.imdb.com/title/tt0134154/
Hatfields & McCoys	drama, history, romance, war, western	2012		8	290	http://www.imdb.com/title/tt1985443/
Tin Man	adventure, fantasy, sci_fi, western	2007		7	270	http://www.imdb.com/title/tt0910812/
Bring Me the Head of Alfredo Garcia	action, crime, drama, thriller, western	1974	Sam Peckinpah	7.5	112	http://www.imdb.com/title/tt0071249/
The Misfits	drama	1961	John Huston	7.3	124	http://www.imdb.com/title/tt0055184/
Pat Garrett & Billy the Kid	drama, history, western	1973	Sam Peckinpah	7.3	122	http://www.imdb.com/title/tt0070518/
How the West Was Won	western	1962	John Ford, Henry Hathaway	7	164	http://www.imdb.com/title/tt0056085/
Harley Davidson and the Marlboro Man	action, crime, drama, thriller, western	1991	Simon Wincer	5.6	98	http://www.imdb.com/title/tt0102005/
Lonesome Dove	adventure, drama, western	1989		8.6	384	http://www.imdb.com/title/tt0096639/
Sukiyaki Western Django	action, western	2007	Takashi Miike	6.1	121	http://www.imdb.com/title/tt0906665/
Quigley Down Under	adventure, drama, romance, western	1990	Simon Wincer	6.6	119	http://www.imdb.com/title/tt0102744/
An American Tail: Fievel Goes West	animation, adventure, comedy, family, musical, western	1991	Phil Nibbelink, Simon Wells	6.2	75	http://www.imdb.com/title/tt0101329/
Two Mules for Sister Sara	adventure, comedy, war, western	1970	Don Siegel	6.9	116	http://www.imdb.com/title/tt0065134/
City Slickers II: The Legend of Curly's Gold	adventure, comedy, western	1994	Paul Weiland	5.3	116	http://www.imdb.com/title/tt0109439/
McCabe & Mrs. Miller	drama, western	1971	Robert Altman	7.6	120	http://www.imdb.com/title/tt0067411/
El Dorado	western	1966	Howard Hawks	7.6	126	http://www.imdb.com/title/tt0061619/
The Shootist	drama, western	1976	Don Siegel	7.6	100	http://www.imdb.com/title/tt0075213/
The Alamo	drama, history, war, western	2004	John Lee Hancock	5.9	137	http://www.imdb.com/title/tt0318974/
Jeremiah Johnson	adventure, drama, western	1972	Sydney Pollack	7.5	108	http://www.imdb.com/title/tt0068762/
Hell on Wheels	drama, western	2011		8.2		http://www.imdb.com/title/tt1699748/
Hang 'Em High	crime, thriller, western	1968	Ted Post	6.9	114	http://www.imdb.com/title/tt0061747/
Ned Kelly	action, adventure, biography, crime, history, western	2003	Gregor Jordan	6.4	110	http://www.imdb.com/title/tt0277941/
Westworld	action, sci_fi, western	1973	Michael Crichton	7	88	http://www.imdb.com/title/tt0070909/
The Warrior's Way	action, fantasy, western	2010	Sngmoo Lee	6.2	100	http://www.imdb.com/title/tt1032751/
Seraphim Falls	action, drama, thriller, war, western	2006	David Von Ancken	6.7	115	http://www.imdb.com/title/tt0479537/
Little Big Man	history, western	1970	Arthur Penn	7.6	139	http://www.imdb.com/title/tt0065988/
Bandidas	action, comedy, crime, western	2006	Joachim Rønning, Espen Sandberg	5.6	93	http://www.imdb.com/title/tt0416496/
The Missing	adventure, thriller, western	2003	Ron Howard	6.4	137	http://www.imdb.com/title/tt0338188/
True Grit	adventure, western, drama	1969	Henry Hathaway	7.3	128	http://www.imdb.com/title/tt0065126/
High Plains Drifter	western	1973	Clint Eastwood	7.6	105	http://www.imdb.com/title/tt0068699/
The Horse Whisperer	drama, romance, western	1998	Robert Redford	6.4	170	http://www.imdb.com/title/tt0119314/
Pale Rider	western	1985	Clint Eastwood	7.2	115	http://www.imdb.com/title/tt0089767/
The Three Burials of Melquiades Estrada	adventure, crime, drama, mystery, western	2005	Tommy Lee Jones	7.5	121	http://www.imdb.com/title/tt0419294/
City Slickers	comedy, western	1991	Ron Underwood	6.7	113	http://www.imdb.com/title/tt0101587/
Jonah Hex	action, drama, fantasy, thriller, western	2010	Jimmy Hayward	4.6	81	http://www.imdb.com/title/tt1075747/
Last Man Standing	action, crime, drama, thriller, western	1996	Walter Hill	6.2	101	http://www.imdb.com/title/tt0116830/
The Proposition	crime, drama, western	2005	John Hillcoat	7.4	104	http://www.imdb.com/title/tt0421238/
Far and Away	adventure, drama, romance, western	1992	Ron Howard	6.3	140	http://www.imdb.com/title/tt0104231/
The Outlaw Josey Wales	western	1976	Clint Eastwood	7.9	135	http://www.imdb.com/title/tt0075029/
Deadwood	crime, drama, history, western	2004		8.9	60	http://www.imdb.com/title/tt0348914/
The Man Who Shot Liberty Valance	drama, romance, western	1962	John Ford	8.1	123	http://www.imdb.com/title/tt0056217/
Open Range	action, romance, western	2003	Kevin Costner	7.4	139	http://www.imdb.com/title/tt0316356/
The Magnificent Seven	action, adventure, drama, thriller, western	1960	John Sturges	7.8	128	http://www.imdb.com/title/tt0054047/
The Wild Bunch	western	1969	Sam Peckinpah	8.1	145	http://www.imdb.com/title/tt0065214/
The Quick and the Dead	action, thriller, western	1995	Sam Raimi	6.3	107	http://www.imdb.com/title/tt0114214/
Hidalgo	action, adventure, western	2004	Joe Johnston	6.6	136	http://www.imdb.com/title/tt0317648/
Dead Man	drama, fantasy, western	1995	Jim Jarmusch	7.7	121	http://www.imdb.com/title/tt0112817/
