Title	Genres	Year	Directors	IMDb Rating	Runtime (mins)	URL
The Smurfs	animation, adventure, comedy, family, fantasy	2011	Raja Gosnell	5.3	103	http://www.imdb.com/title/tt0472181/
Ghost Rider: Spirit of Vengeance	action, fantasy, thriller	2011	Neveldine, Taylor	4.4	96	http://www.imdb.com/title/tt1071875/
Perfume: The Story of a Murderer	drama, fantasy	2006	Tom Tykwer	7.5	147	http://www.imdb.com/title/tt0396171/
The Hobbit: There and Back Again	adventure, fantasy	2014	Peter Jackson			http://www.imdb.com/title/tt2310332/
Big Trouble in Little China	action, adventure, comedy, fantasy	1986	John Carpenter	7.2	99	http://www.imdb.com/title/tt0090728/
Labyrinth	adventure, family, fantasy, musical	1986	Jim Henson	7.3	101	http://www.imdb.com/title/tt0091369/
The Nightmare Before Christmas	animation, family, fantasy, musical	1993	Henry Selick	8	76	http://www.imdb.com/title/tt0107688/
Jumanji	adventure, family, fantasy, thriller	1995	Joe Johnston	6.6	104	http://www.imdb.com/title/tt0113497/
Blade	action, fantasy, horror	1998	Stephen Norrington	7	120	http://www.imdb.com/title/tt0120611/
The Emperor's New Groove	animation, adventure, comedy, family, fantasy	2000	Mark Dindal	7.2	78	http://www.imdb.com/title/tt0120917/
Bruce Almighty	comedy, drama, fantasy	2003	Tom Shadyac	6.6	101	http://www.imdb.com/title/tt0315327/
The League of Extraordinary Gentlemen	action, adventure, fantasy, sci_fi	2003	Stephen Norrington	5.6	110	http://www.imdb.com/title/tt0311429/
Hellboy	action, adventure, fantasy, sci_fi	2004	Guillermo del Toro	6.8	122	http://www.imdb.com/title/tt0167190/
Underworld: Evolution	action, fantasy, sci_fi, thriller	2006	Len Wiseman	6.7	106	http://www.imdb.com/title/tt0401855/
Eragon	action, adventure, family, fantasy	2006	Stefen Fangmeier	5	104	http://www.imdb.com/title/tt0449010/
Night at the Museum	action, adventure, comedy, family, fantasy	2006	Shawn Levy	6.3	108	http://www.imdb.com/title/tt0477347/
Beowulf	animation, action, adventure, fantasy	2007	Robert Zemeckis	6.3	115	http://www.imdb.com/title/tt0442933/
Ghost Rider	action, fantasy, thriller	2007	Mark Steven Johnson	5.2	114	http://www.imdb.com/title/tt0259324/
Shrek the Third	animation, adventure, comedy, family, fantasy	2007	Chris Miller, Raman Hui	6	93	http://www.imdb.com/title/tt0413267/
Horton Hears a Who!	animation, adventure, comedy, family, fantasy	2008	Jimmy Hayward, Steve Martino	6.9	86	http://www.imdb.com/title/tt0451079/
The Chronicles of Narnia: Prince Caspian	action, adventure, family, fantasy	2008	Andrew Adamson	6.6	150	http://www.imdb.com/title/tt0499448/
Coraline	animation, fantasy, thriller	2009	Henry Selick	7.7	100	http://www.imdb.com/title/tt0327597/
Race to Witch Mountain	action, adventure, family, fantasy, sci_fi, thriller	2009	Andy Fickman	5.7	98	http://www.imdb.com/title/tt1075417/
Where the Wild Things Are	adventure, drama, family, fantasy	2009	Spike Jonze	6.8	101	http://www.imdb.com/title/tt0386117/
Legion	action, fantasy, horror	2010	Scott Stewart	5.1	100	http://www.imdb.com/title/tt1038686/
Cirque du Soleil: Worlds Away	fantasy	2012	Andrew Adamson	6.3	91	http://www.imdb.com/title/tt1792647/
Field of Dreams	drama, family, fantasy, sport	1989	Phil Alden Robinson	7.5	107	http://www.imdb.com/title/tt0097351/
Batman Returns	action, fantasy	1992	Tim Burton	7	126	http://www.imdb.com/title/tt0103776/
